ID,Date,Company,Title,Location,Link
11,2024-02-21,Cameo,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-cameo-3836049985?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=ayQcT%2FrE4dpWVcy8ceirZA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2024-01-04,Old Republic Professional,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-old-republic-professional-3794065095?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=AZUzzy2fO6N64Ob7SjYDLg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2024-02-06,Kraft Heinz,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-kraft-heinz-3715884999?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=nlk9vlMacvWDVwbyrry%2BCg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2024-01-30,Forbes Technical Consulting,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-forbes-technical-consulting-3813680907?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=8X2HtZCDg0OFgX%2BQH2giTg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2024-02-06,Attadale Partners,"Machine Learning Engineer, NLP","Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-nlp-at-attadale-partners-3823426717?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=eDIuJlbeysHKpYNlE1Z0fg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2024-02-26,Rang Technologies Inc,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-rang-technologies-inc-3835319884?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=y1i60AOi1RA9RUJ44941hA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2023-12-16,Rise25,OpenAI/GPT3 Expert / AI/ML Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/openai-gpt3-expert-ai-ml-developer-at-rise25-3787792746?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=1J7HsLveFueM1of91AczzQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2023-11-30,UChicago Medicine,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-uchicago-medicine-3776207759?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=%2FAJKglES5qu%2BHPxNTqRWKQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
19,2024-02-12,INSIGHT2PROFIT,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-insight2profit-3807715993?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=ydCTSLDB7wMfU2RFm%2FNM%2BQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2023-12-07,Steneral Consulting,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-steneral-consulting-3779885092?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=0kXqFOPcKjrGIs2%2Bh4RJeg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
