ID,Date,Company,Title,Location,Link
41,2024-02-06,AMD,Software Development Engineer 1,"Santa Clara, CA",https://www.linkedin.com/jobs/view/software-development-engineer-1-at-amd-3819434562?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=3cf7MAC%2BMYt5uHVU%2FjDxUQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
42,2024-02-21,Netflix,Full Stack Engineer 5 - Experimentation Platform,"Los Gatos, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-5-experimentation-platform-at-netflix-3800434253?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=EH9SxmQhkXKf05NvSJcX%2Bw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
43,2024-02-24,Notion,"Software Engineer, Developer Infrastructure","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-developer-infrastructure-at-notion-3705238108?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=LvUXFSTQX%2FbA%2BzR9sgtumA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
44,2023-08-14,NachoNacho,FullStack Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/fullstack-software-engineer-at-nachonacho-3714750727?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=sE1qeS2l3kwQe3Oow%2B1LHg%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
45,2024-01-25,Inventive AI (YC S23),Full Stack Engineer,"Mountain View, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-at-inventive-ai-yc-s23-3812828289?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=kYspDaNwbduVsxpKYXRUZg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
46,2024-02-08,Glean,"Software Engineer, Fullstack","Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-glean-3803618745?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=gSkVLagWkGCFIxcnD0cZBg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
47,2024-01-03,WeRide.ai,"Software Engineer, New Grads 2024 - Campus Recruiting","San Jose, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grads-2024-campus-recruiting-at-weride-ai-3792972263?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=wbc61ZdRKm2IyfW9G%2FTcrA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
48,2024-02-23,Watershed,"Software engineer, intern",San Francisco Bay Area,https://www.linkedin.com/jobs/view/software-engineer-intern-at-watershed-3837351051?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=53%2Bnvh79f2V1cVxv9LAlWA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
49,2023-06-05,Candid Health,"Software Engineer, Full Stack","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-candid-health-3625993046?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=Yn0baOw%2FTPTKUKwpL0QK%2Bw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
50,2024-02-13,DoorDash,"Software Engineer I, Backend (Graduation Date Spring 2022-Winter 2023)","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-i-backend-graduation-date-spring-2022-winter-2023-at-doordash-3828925721?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=A7%2FaUFSOTy8expAEf2UVPw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
